file,category,gt_class,n,u,tag
images/raw/trash/trash_002.jpg,normal,nontask,0,0,
images/raw/trash/trash_006.jpg,trash,task,1,1,
images/raw/trash/trash_010.jpg,trash,task,1,1,
images/raw/trash/trash_019.jpg,trash,task,1,1,
images/raw/trash/trash_024.jpg,trash,task,1,1,
images/raw/trash/trash_025.jpg,trash,task,1,1,
images/raw/trash/trash_026.jpg,trash,task,1,1,
images/raw/trash/trash_029.jpg,trash,task,1,1,
images/raw/trash/trash_mv031.jpg,trash,task,1,1,
images/raw/trash/trash_mv032.jpg,trash,task,1,1,
images/raw/trash/trash_ov101.jpg,trash,task,1,1,
images/raw/trash/trash_ov109.jpg,ambiguous,nontask,0,0,
images/raw/trash/trash_ov110.jpg,trash,task,1,1,
images/raw/sharps/sharps_000.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov024.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov025.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov026.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov027.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov028.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov029.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov031.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov032.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov033.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov034.jpg,sharps,task,1,3,
images/raw/sharps/sharps_ov035.jpg,sharps,task,1,3,
images/raw/carcass_s/carcass_s_000.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_002.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_003.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_005.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_006.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_007.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_008.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_009.jpg,carcass_s,task,1,3,
images/raw/carcass_s/carcass_s_010.jpg,carcass_s,task,1,3,
